Tahun Registrasi,Provinsi,Kota/Kabupaten,Tipe Kendaraan,Brand,Model,Estimasi Harga (Rp),Jarak Tempuh (km),Penerima Subsidi
2024,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),BYD,Seal,640000000,425,Tidak
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,31000000,113,Ya
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,38000000,86,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox R,23000000,100,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,25000000,123,Ya
2023,Jawa Barat,Depok,Mobil Listrik (R4),Hyundai,Ioniq 6,771000000,477,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Volta,Mandala,21000000,118,Ya
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Volta,Mandala,42000000,104,Tidak
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,One,23000000,99,Ya
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Kona Electric,1186000000,471,Ya
2021,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,401,27000000,100,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Polytron,Fox S,35000000,90,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Selis,E-Max,44000000,65,Ya
2023,Jawa Barat,Depok,Mobil Listrik (R4),Hyundai,Kona Electric,749000000,386,Ya
2025,Lainnya,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Dolphin,520000000,479,Tidak
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,T9,19000000,122,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Selis,Agats,22000000,124,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,45000000,115,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),BYD,Dolphin,417000000,419,Tidak
2023,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,23000000,130,Ya
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,32000000,76,Ya
2025,Jawa Timur,Malang,Mobil Listrik (R4),BYD,Atto 3,651000000,497,Tidak
2025,Jawa Barat,Depok,Motor Listrik (R2),Gesits,Raya,17000000,60,Ya
2021,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Chery,Omoda E5,514000000,439,Tidak
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox S,36000000,98,Tidak
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Selis,Agats,15000000,101,Ya
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Kona Electric,1052000000,433,Ya
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Gesits,Raya,34000000,61,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,22000000,102,Ya
2025,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Chery,Omoda E5,872000000,302,Tidak
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox R,36000000,106,Ya
2022,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox R,30000000,73,Ya
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,Agats,22000000,116,Ya
2025,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Wuling,Cloud EV,214000000,318,Ya
2024,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Kona Electric,834000000,351,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Selis,Agats,30000000,116,Tidak
2025,Jawa Barat,Depok,Motor Listrik (R2),Yadea,T9,17000000,75,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Yadea,E8s Pro,25000000,68,Ya
2025,Banten,Lainnya,Motor Listrik (R2),Gesits,G1,38000000,91,Ya
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,T9,31000000,128,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Alva,Cervo,45000000,60,Tidak
2025,Banten,Lainnya,Motor Listrik (R2),Selis,Agats,23000000,73,Ya
2023,Jawa Barat,Bekasi,Mobil Listrik (R4),BYD,M6,682000000,600,Tidak
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,38000000,105,Ya
2022,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox S,41000000,83,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox S,25000000,104,Ya
2022,Banten,Tangerang Selatan,Motor Listrik (R2),Honda,EM1 e:,41000000,72,Ya
2024,Jawa Barat,Bandung,Mobil Listrik (R4),MG,MG ZS EV,967000000,364,Tidak
2024,Jawa Barat,Bandung,Motor Listrik (R2),Yadea,T9,41000000,60,Ya
2024,DI Yogyakarta,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,44000000,80,Ya
2024,DI Yogyakarta,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,195000000,304,Ya
2023,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Ioniq 6,905000000,395,Ya
2025,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Wuling,BinguoEV,356000000,309,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,Virgo,31000000,90,Tidak
2022,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),BYD,Seal,703000000,560,Tidak
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Kona Electric,742000000,357,Ya
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Honda,EM1 e:,34000000,111,Ya
2025,Jawa Timur,Sidoarjo,Mobil Listrik (R4),BYD,Seal,490000000,511,Tidak
2025,Banten,Lainnya,Mobil Listrik (R4),Hyundai,Kona Electric,1146000000,389,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Polytron,Fox R,17000000,104,Ya
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,T9,20000000,115,Ya
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Ioniq 6,1028000000,484,Ya
2024,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Wuling,Cloud EV,390000000,313,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Volta,Virgo,45000000,83,Ya
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Alva,One,28000000,89,Ya
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),BYD,Seal,465000000,456,Tidak
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Gesits,G1,19000000,101,Ya
2024,Banten,Tangerang,Bus/Komersil (EV),VKTR,MD12,3099000000,155,Tidak
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Yadea,T9,32000000,73,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,401,30000000,87,Tidak
2025,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Chery,Omoda E5,478000000,336,Tidak
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox R,23000000,85,Ya
2022,Jawa Timur,Surabaya,Motor Listrik (R2),Gesits,G1,45000000,72,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Polytron,Fox R,29000000,94,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,202000000,385,Ya
2022,Jawa Timur,Surabaya,Motor Listrik (R2),Gesits,G1,16000000,70,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Selis,Agats,18000000,101,Ya
2022,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,35000000,75,Ya
2023,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox R,41000000,101,Tidak
2023,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Chery,Omoda E5,710000000,327,Tidak
2025,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,Air EV,375000000,287,Ya
2023,Jawa Barat,Lainnya,Motor Listrik (R2),Honda,EM1 e:,18000000,81,Ya
2024,Jawa Barat,Bekasi,Bus/Komersil (EV),INKA,E-Inobus,3122000000,216,Tidak
2024,Jawa Barat,Bekasi,Mobil Listrik (R4),Wuling,BinguoEV,309000000,210,Ya
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,33000000,122,Ya
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),MG,MG 4 EV,849000000,450,Tidak
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Gesits,G1,30000000,73,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Polytron,Fox S,26000000,74,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,27000000,128,Ya
2021,Jawa Timur,Sidoarjo,Motor Listrik (R2),Selis,E-Max,40000000,123,Ya
2022,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,17000000,65,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,G1,40000000,97,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Cloud EV,251000000,286,Ya
2022,Jawa Barat,Bogor,Mobil Listrik (R4),Wuling,Cloud EV,206000000,240,Tidak
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Gesits,G1,45000000,113,Tidak
2023,Jawa Barat,Depok,Motor Listrik (R2),Gesits,Raya,34000000,67,Ya
2024,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,401,36000000,84,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,E8s Pro,30000000,103,Ya
2023,Jawa Timur,Malang,Motor Listrik (R2),Honda,EM1 e:,43000000,121,Ya
2025,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Gesits,Raya,21000000,108,Ya
2024,Jawa Timur,Sidoarjo,Motor Listrik (R2),Honda,EM1 e:,35000000,107,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Selis,E-Max,18000000,129,Ya
2023,Jawa Barat,Bandung,Mobil Listrik (R4),Hyundai,Ioniq 6,930000000,471,Ya
2021,Jawa Barat,Depok,Motor Listrik (R2),Alva,One,29000000,117,Ya
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Alva,Cervo,43000000,115,Tidak
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,16000000,109,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox R,24000000,82,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Volta,401,30000000,86,Ya
2022,Jawa Barat,Lainnya,Motor Listrik (R2),Yadea,E8s Pro,22000000,109,Ya
2023,Jawa Barat,Lainnya,Motor Listrik (R2),Volta,Virgo,17000000,101,Ya
2023,Jawa Barat,Bandung,Motor Listrik (R2),Honda,EM1 e:,32000000,62,Ya
2025,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Wuling,Cloud EV,309000000,366,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Ioniq 6,1155000000,379,Ya
2023,Banten,Tangerang Selatan,Motor Listrik (R2),Alva,One,16000000,126,Ya
2025,Banten,Tangerang Selatan,Mobil Listrik (R4),Hyundai,Ioniq 5,833000000,469,Ya
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Hyundai,Ioniq 6,731000000,462,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,750000000,416,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Gesits,Raya,22000000,93,Ya
2023,Banten,Tangerang Selatan,Mobil Listrik (R4),Toyota,bZ4X,572000000,402,Tidak
2024,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,Mandala,39000000,87,Ya
2025,Banten,Tangerang,Motor Listrik (R2),Selis,Agats,18000000,126,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Hyundai,Kona Electric,1122000000,408,Ya
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,21000000,95,Ya
2024,Lainnya,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,E8s Pro,45000000,70,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Ioniq 6,1168000000,436,Ya
2024,Banten,Tangerang Selatan,Motor Listrik (R2),Selis,E-Max,29000000,119,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Yadea,E8s Pro,17000000,84,Ya
2024,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Kona Electric,1016000000,455,Ya
2022,Jawa Timur,Surabaya,Motor Listrik (R2),Honda,EM1 e:,15000000,67,Ya
2024,Banten,Lainnya,Motor Listrik (R2),Volta,401,18000000,91,Ya
2022,DKI Jakarta,Jakarta Selatan,Bus/Komersil (EV),MAB,MD12E NF,4027000000,206,Tidak
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,36000000,119,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,T9,33000000,90,Tidak
2025,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Selis,E-Max,44000000,117,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Volta,Mandala,32000000,98,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,34000000,60,Ya
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,Virgo,25000000,63,Ya
2023,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,28000000,109,Ya
2023,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Toyota,bZ4X,742000000,300,Tidak
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Kona Electric,990000000,356,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,38000000,107,Tidak
2025,Jawa Barat,Lainnya,Mobil Listrik (R4),Hyundai,Kona Electric,780000000,479,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Honda,EM1 e:,21000000,118,Ya
2023,Banten,Lainnya,Mobil Listrik (R4),Wuling,BinguoEV,196000000,313,Ya
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Polytron,Fox S,43000000,74,Tidak
2024,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,Atto 3,537000000,430,Tidak
2021,Jawa Barat,Bekasi,Motor Listrik (R2),Alva,One,30000000,117,Tidak
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Volta,Mandala,33000000,116,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Polytron,Fox R,25000000,88,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,18000000,80,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox S,24000000,117,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Polytron,Fox S,31000000,107,Ya
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Polytron,Fox R,21000000,70,Ya
2024,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,44000000,97,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,18000000,104,Ya
2023,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,Cervo,16000000,87,Ya
2021,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),BYD,Seal,565000000,588,Tidak
2025,Jawa Barat,Lainnya,Mobil Listrik (R4),Chery,Omoda E5,895000000,365,Tidak
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,43000000,125,Ya
2024,Jawa Barat,Bandung,Mobil Listrik (R4),Toyota,bZ4X,950000000,337,Tidak
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Polytron,Fox R,16000000,78,Ya
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Yadea,T9,44000000,100,Tidak
2025,Banten,Tangerang,Mobil Listrik (R4),Hyundai,Ioniq 6,1179000000,394,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,Cervo,36000000,120,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Selis,Agats,37000000,123,Ya
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Yadea,E8s Pro,18000000,124,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Ioniq 6,1153000000,464,Ya
2024,Banten,Tangerang Selatan,Motor Listrik (R2),Gesits,G1,40000000,63,Tidak
2024,Jawa Timur,Sidoarjo,Motor Listrik (R2),Honda,EM1 e:,22000000,114,Ya
2024,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),MG,MG ZS EV,996000000,366,Tidak
2022,Jawa Timur,Surabaya,Motor Listrik (R2),Yadea,T9,42000000,86,Tidak
2022,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Yadea,E8s Pro,18000000,74,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Yadea,T9,40000000,123,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Volta,401,22000000,102,Ya
2025,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Ioniq 5,1164000000,365,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Yadea,T9,37000000,112,Ya
2023,Jawa Barat,Depok,Motor Listrik (R2),Yadea,T9,30000000,112,Ya
2023,Sulawesi Selatan,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,31000000,125,Tidak
2021,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Honda,EM1 e:,40000000,119,Tidak
2024,Banten,Tangerang,Motor Listrik (R2),Polytron,Fox S,17000000,117,Ya
2025,Jawa Barat,Bogor,Motor Listrik (R2),Volta,Mandala,25000000,67,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Gesits,Raya,33000000,85,Tidak
2023,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Polytron,Fox S,45000000,128,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Honda,EM1 e:,23000000,67,Ya
2024,Lainnya,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,Air EV,259000000,369,Ya
2024,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,21000000,95,Ya
2025,DKI Jakarta,Jakarta Utara,Mobil Listrik (R4),Hyundai,Ioniq 5,1153000000,482,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Gesits,Raya,33000000,70,Ya
2021,Jawa Timur,Lainnya,Mobil Listrik (R4),Chery,Omoda E5,863000000,327,Tidak
2021,Jawa Timur,Malang,Mobil Listrik (R4),Wuling,BinguoEV,301000000,296,Tidak
2024,Jawa Barat,Bekasi,Motor Listrik (R2),Gesits,Raya,33000000,60,Tidak
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Honda,EM1 e:,32000000,114,Ya
2022,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),BYD,Atto 3,482000000,415,Tidak
2023,Sumatera Utara,Kota/Kabupaten Lain,Mobil Listrik (R4),BYD,M6,504000000,541,Tidak
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Yadea,E8s Pro,25000000,97,Ya
2025,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Hyundai,Ioniq 6,701000000,377,Ya
2024,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Volta,Mandala,40000000,82,Ya
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Selis,Agats,35000000,77,Tidak
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Gesits,Raya,28000000,71,Ya
2024,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,24000000,128,Ya
2021,Banten,Tangerang,Motor Listrik (R2),Alva,Cervo,35000000,108,Tidak
2022,Jawa Barat,Lainnya,Motor Listrik (R2),Polytron,Fox R,18000000,62,Ya
2024,Jawa Timur,Sidoarjo,Mobil Listrik (R4),Chery,Omoda E5,534000000,366,Tidak
2024,Banten,Tangerang Selatan,Motor Listrik (R2),Volta,401,44000000,75,Ya
2025,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Honda,EM1 e:,18000000,129,Ya
2024,Jawa Timur,Malang,Mobil Listrik (R4),Wuling,BinguoEV,275000000,234,Ya
2023,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Honda,EM1 e:,18000000,61,Ya
2020,DKI Jakarta,Jakarta Timur,Mobil Listrik (R4),Wuling,BinguoEV,325000000,266,Tidak
2024,Jawa Timur,Sidoarjo,Motor Listrik (R2),Alva,Cervo,26000000,113,Ya
2023,Jawa Barat,Bekasi,Mobil Listrik (R4),BYD,Dolphin,416000000,472,Tidak
2021,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,T9,35000000,67,Ya
2024,Jawa Barat,Bogor,Mobil Listrik (R4),Hyundai,Ioniq 6,836000000,499,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Volta,Mandala,24000000,106,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Hyundai,Ioniq 6,1199000000,368,Ya
2022,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Honda,EM1 e:,37000000,80,Tidak
2023,Jawa Timur,Surabaya,Motor Listrik (R2),Selis,Agats,28000000,98,Ya
2021,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,280000000,321,Tidak
2023,Banten,Tangerang,Bus/Komersil (EV),MAB,MD12E NF,3248000000,236,Tidak
2025,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Polytron,Fox R,22000000,108,Ya
2024,Banten,Tangerang,Motor Listrik (R2),Volta,Virgo,42000000,66,Ya
2024,Jawa Timur,Lainnya,Motor Listrik (R2),Honda,EM1 e:,33000000,117,Ya
2023,Jawa Barat,Bogor,Motor Listrik (R2),Alva,One,20000000,62,Ya
2022,Jawa Timur,Malang,Motor Listrik (R2),Honda,EM1 e:,39000000,69,Ya
2025,Jawa Barat,Bekasi,Motor Listrik (R2),Gesits,G1,41000000,89,Ya
2024,Jawa Barat,Lainnya,Mobil Listrik (R4),Wuling,BinguoEV,295000000,332,Ya
2024,Jawa Barat,Bogor,Motor Listrik (R2),Gesits,Raya,34000000,78,Tidak
2022,Jawa Barat,Bogor,Motor Listrik (R2),Selis,E-Max,28000000,120,Ya
2020,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Gesits,Raya,30000000,84,Tidak
2024,Bali,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,274000000,315,Ya
2023,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Polytron,Fox S,45000000,106,Ya
2022,Jawa Barat,Bogor,Motor Listrik (R2),Selis,Agats,32000000,92,Ya
2024,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Volta,Mandala,36000000,111,Tidak
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Polytron,Fox S,17000000,82,Ya
2021,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Polytron,Fox S,30000000,74,Ya
2024,Jawa Barat,Depok,Motor Listrik (R2),Polytron,Fox S,33000000,96,Ya
2024,Banten,Tangerang,Mobil Listrik (R4),Hyundai,Ioniq 6,794000000,493,Ya
2020,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Selis,Agats,21000000,82,Ya
2022,Jawa Timur,Sidoarjo,Motor Listrik (R2),Alva,One,43000000,61,Ya
2024,DKI Jakarta,Jakarta Pusat,Mobil Listrik (R4),Chery,Omoda E5,998000000,395,Tidak
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Yadea,E8s Pro,30000000,74,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox R,29000000,89,Ya
2024,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Alva,One,32000000,65,Ya
2025,Jawa Timur,Malang,Motor Listrik (R2),Honda,EM1 e:,23000000,78,Ya
2024,Banten,Lainnya,Mobil Listrik (R4),Hyundai,Kona Electric,1024000000,471,Ya
2022,DKI Jakarta,Jakarta Pusat,Motor Listrik (R2),Alva,Cervo,37000000,121,Tidak
2025,Jawa Barat,Lainnya,Mobil Listrik (R4),Hyundai,Ioniq 5,765000000,495,Ya
2024,Jawa Barat,Lainnya,Motor Listrik (R2),Selis,E-Max,33000000,72,Ya
2023,Jawa Timur,Sidoarjo,Motor Listrik (R2),Alva,Cervo,34000000,66,Ya
2023,DKI Jakarta,Jakarta Utara,Motor Listrik (R2),Selis,Agats,45000000,74,Ya
2025,Jawa Barat,Depok,Motor Listrik (R2),Honda,EM1 e:,31000000,83,Ya
2024,Jawa Barat,Bandung,Motor Listrik (R2),Alva,Cervo,36000000,74,Tidak
2022,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,41000000,89,Ya
2025,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,BinguoEV,292000000,315,Ya
2025,DKI Jakarta,Jakarta Selatan,Mobil Listrik (R4),Wuling,Cloud EV,194000000,308,Ya
2023,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,34000000,87,Ya
2023,Banten,Lainnya,Motor Listrik (R2),Honda,EM1 e:,30000000,90,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Chery,Omoda E5,430000000,401,Tidak
2023,Jawa Barat,Bekasi,Motor Listrik (R2),Alva,One,44000000,116,Ya
2021,Jawa Timur,Surabaya,Mobil Listrik (R4),Wuling,Air EV,333000000,295,Tidak
2025,Jawa Tengah,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,E-Max,19000000,110,Ya
2023,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Polytron,Fox S,22000000,99,Ya
2024,Banten,Tangerang Selatan,Mobil Listrik (R4),MG,MG ZS EV,688000000,399,Tidak
2025,Bali,Kota/Kabupaten Lain,Motor Listrik (R2),Selis,Agats,34000000,62,Ya
2022,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Honda,EM1 e:,30000000,104,Ya
2023,Jawa Tengah,Kota/Kabupaten Lain,Mobil Listrik (R4),Wuling,BinguoEV,205000000,378,Ya
2022,Jawa Barat,Depok,Motor Listrik (R2),Polytron,Fox R,29000000,106,Ya
2025,Banten,Tangerang Selatan,Motor Listrik (R2),Polytron,Fox S,33000000,90,Ya
2023,Sumatera Utara,Kota/Kabupaten Lain,Motor Listrik (R2),Alva,One,24000000,71,Ya
2025,DKI Jakarta,Jakarta Selatan,Motor Listrik (R2),Volta,Mandala,45000000,122,Ya
2025,Jawa Barat,Depok,Mobil Listrik (R4),Wuling,Air EV,393000000,387,Ya
2022,DKI Jakarta,Jakarta Timur,Motor Listrik (R2),Volta,401,45000000,126,Tidak
2024,DKI Jakarta,Jakarta Barat,Motor Listrik (R2),Selis,E-Max,36000000,128,Ya
2024,DKI Jakarta,Jakarta Barat,Mobil Listrik (R4),Chery,Omoda E5,527000000,339,Tidak
